epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,65.7076,1.30635,4.36301,3.80244,1.58255,0,0.00823,0.69524,0.25732,0.1421,0.00589,0.4619,0.20308,0.12489,0.96737,3.03742,3.56879,1.27665,0,6e-05,6e-05,6e-05
2,129.434,1.12982,3.23334,3.44646,1.35374,0,0.00782,0.7119,0.30774,0.19492,0.00699,0.64524,0.25649,0.15007,0.86638,2.51606,3.48378,1.11638,0,0.000127426,0.000127426,0.000127426
3,182.013,0.95,2.42713,3.06564,1.21231,0,0.00798,0.7119,0.37353,0.25897,0.00781,0.69524,0.36677,0.20968,0.8055,2.14132,3.40732,1.0387,0,0.00019208,0.00019208,0.00019208
4,246.78,0.91027,1.98838,2.47517,1.1577,0,0.0084,0.7119,0.49746,0.37205,0.00832,0.68571,0.47511,0.33159,0.78142,1.57957,3.18113,0.99291,0,0.000253962,0.000253962,0.000253962
5,303.815,0.8679,1.71022,1.91544,1.13491,0,0.99505,0.16667,0.52847,0.38433,0.99505,0.16667,0.48358,0.32569,0.82131,1.84952,2.9341,1.05686,0,0.000313072,0.000313072,0.000313072
6,367.948,0.92002,1.56151,1.70811,1.17941,0,0.99566,0.24388,0.5414,0.39821,0.99566,0.24388,0.53326,0.36787,0.83984,1.71599,2.73699,1.09555,0,0.00036941,0.00036941,0.00036941
7,432.826,0.83299,1.31648,1.4029,1.12715,0,0.9932,0.30988,0.53452,0.42787,0.9932,0.30988,0.51866,0.3704,0.75964,1.62822,2.65941,1.01499,0,0.000422976,0.000422976,0.000422976
8,491.155,0.82895,1.37225,1.37513,1.08324,0,0.96023,0.46043,0.57443,0.47443,0.96023,0.46043,0.56284,0.40896,0.73315,1.44246,2.52355,0.99487,0,0.00047377,0.00047377,0.00047377
9,555.869,0.79068,1.23493,1.2122,1.08925,0,0.99119,0.49383,0.60529,0.49013,0.99119,0.49383,0.59986,0.45458,0.73504,1.25511,2.43511,1.01863,0,0.000521792,0.000521792,0.000521792
10,622.408,0.82818,1.38794,1.25267,1.08335,0,0.99069,0.48957,0.71383,0.56518,0.99069,0.48957,0.70861,0.54139,0.77702,1.29399,2.32125,1.08909,0,0.000567042,0.000567042,0.000567042
11,686.617,0.81942,1.30518,1.11604,1.04985,0,0.94588,0.46667,0.79042,0.65421,0.94588,0.46667,0.78285,0.60401,0.73327,1.20919,2.1803,1.01681,0,0.00060952,0.00060952,0.00060952
12,746.074,0.82959,1.29971,1.13231,1.09026,0,0.9432,0.46667,0.80953,0.64551,0.9432,0.46667,0.79173,0.60302,0.77455,1.13856,1.99828,1.04593,0,0.000649226,0.000649226,0.000649226
13,805.695,0.78865,1.19236,1.11205,1.05907,0,0.93847,0.60656,0.8264,0.64953,0.93847,0.60656,0.80645,0.61848,0.82133,1.13999,1.89096,1.09671,0,0.00068616,0.00068616,0.00068616
14,874.305,0.81224,1.22692,1.04729,1.02682,0,0.93847,0.60656,0.8264,0.64953,0.93847,0.60656,0.80645,0.61848,0.82133,1.13999,1.89096,1.09671,0,0.000720322,0.000720322,0.000720322
15,937.498,0.74892,1.16083,1.05374,1.01645,0,0.92573,0.63333,0.8582,0.69534,0.92726,0.63333,0.80573,0.62871,0.75366,1.12598,1.6751,1.07453,0,0.0007228,0.0007228,0.0007228
16,1005.05,0.74379,1.1456,1.01167,1.03191,0,0.83601,0.76606,0.90287,0.74385,0.83675,0.7658,0.87972,0.67558,0.70537,1.0855,1.36929,1.04448,0,0.000703,0.000703,0.000703
17,1069.71,0.7832,1.15473,0.95469,1.03119,0,0.89956,0.81844,0.93616,0.77364,0.89956,0.81844,0.92045,0.72108,0.67276,1.07208,1.24004,1.0106,0,0.0006832,0.0006832,0.0006832
18,1135.49,0.72116,1.1199,0.98574,1.01153,0,0.93943,0.8209,0.93364,0.77353,0.93943,0.8209,0.92557,0.73316,0.67064,1.09614,1.26487,0.99779,0,0.0006634,0.0006634,0.0006634
19,1196.93,0.73593,1.15017,0.95727,1.0154,0,0.85785,0.78145,0.90606,0.75962,0.85785,0.78145,0.90097,0.71316,0.64486,1.08806,1.46393,0.97004,0,0.0006436,0.0006436,0.0006436
20,1258.46,0.73684,1.19306,0.9877,1.02986,0,0.87018,0.80017,0.90668,0.76182,0.87018,0.80017,0.89495,0.7174,0.67843,1.05329,1.48903,0.98928,0,0.0006238,0.0006238,0.0006238
21,1323.35,0.71862,1.00814,0.92818,0.98145,0,0.89792,0.82135,0.90823,0.77939,0.89792,0.82135,0.89636,0.7229,0.68742,1.04843,1.29435,1.0124,0,0.000604,0.000604,0.000604
22,1385.05,0.70653,1.05181,0.93024,0.99259,0,0.89792,0.82135,0.90823,0.77939,0.89792,0.82135,0.89636,0.7229,0.68742,1.04843,1.29435,1.0124,0,0.0005842,0.0005842,0.0005842
23,1445.99,0.6761,0.96591,0.89005,1.01299,0,0.88474,0.85894,0.92157,0.80247,0.88474,0.85894,0.90688,0.72466,0.65758,1.03283,1.10512,0.9963,0,0.0005644,0.0005644,0.0005644
24,1511.81,0.68404,1.01634,0.86134,1.0126,0,0.90526,0.89944,0.93405,0.79534,0.89566,0.87668,0.92069,0.74612,0.65058,0.99314,1.04255,0.98306,0,0.0005446,0.0005446,0.0005446
25,1574.67,0.6569,1.00329,0.87271,0.98035,0,0.85215,0.90714,0.93197,0.79579,0.83905,0.89058,0.91864,0.73684,0.64173,0.96791,1.05755,0.97695,0,0.0005248,0.0005248,0.0005248
26,1660.83,0.67757,0.9825,0.8424,1.01051,0,0.84277,0.90399,0.92453,0.8168,0.82921,0.88842,0.91138,0.74072,0.60806,0.95085,1.0589,0.96667,0,0.000505,0.000505,0.000505
27,1736.35,0.66817,1.02671,0.85714,0.99902,0,0.86137,0.92399,0.92529,0.82082,0.86888,0.89488,0.91265,0.73101,0.57898,0.94902,1.04249,0.9448,0,0.0004852,0.0004852,0.0004852
28,1803.95,0.6522,0.97299,0.83924,1.00152,0,0.8664,0.91598,0.92954,0.80465,0.86172,0.89422,0.91575,0.73094,0.56926,0.93148,1.01362,0.93543,0,0.0004654,0.0004654,0.0004654
29,1871.18,0.64653,0.95168,0.86376,1.02103,0,0.87756,0.91062,0.93274,0.82192,0.91581,0.87472,0.9186,0.73042,0.56387,0.93348,0.99638,0.94015,0,0.0004456,0.0004456,0.0004456
30,1941.61,0.66293,0.97552,0.80729,0.98087,0,0.87756,0.91062,0.93274,0.82192,0.91581,0.87472,0.9186,0.73042,0.56387,0.93348,0.99638,0.94015,0,0.0004258,0.0004258,0.0004258
31,2008.04,0.64818,1.03459,0.84776,0.99255,0,0.87487,0.9215,0.93193,0.80303,0.86167,0.90483,0.91308,0.71777,0.5739,0.949,0.98716,0.94282,0,0.000406,0.000406,0.000406
32,2086.32,0.70135,1.02383,0.82224,0.99436,0,0.87245,0.92769,0.9295,0.81156,0.85944,0.91116,0.91144,0.71715,0.56275,0.94278,0.96965,0.9358,0,0.0003862,0.0003862,0.0003862
33,2153.91,0.63755,0.94805,0.82009,0.998,0,0.87789,0.9461,0.93429,0.82059,0.8648,0.92982,0.91776,0.72959,0.54892,0.93192,0.94771,0.93247,0,0.0003664,0.0003664,0.0003664
34,2218.11,0.61236,1.00851,0.83877,0.96538,0,0.8842,0.95031,0.93329,0.80506,0.87093,0.93405,0.91937,0.73831,0.55724,0.93369,0.94001,0.94052,0,0.0003466,0.0003466,0.0003466
35,2279.59,0.60199,0.90004,0.75484,0.96192,0,0.89161,0.94949,0.93436,0.80906,0.87802,0.93282,0.91964,0.73717,0.56115,0.93325,0.93925,0.94689,0,0.0003268,0.0003268,0.0003268
36,2340.21,0.60718,0.93632,0.74899,0.9602,0,0.889,0.94747,0.93971,0.81764,0.89301,0.93084,0.92471,0.748,0.55635,0.9362,0.94078,0.95071,0,0.000307,0.000307,0.000307
37,2402.41,0.61487,1.04375,0.7457,0.97311,0,0.89091,0.94436,0.94849,0.81366,0.89704,0.92751,0.93535,0.7454,0.5632,0.93331,0.93187,0.95115,0,0.0002872,0.0002872,0.0002872
38,2464.15,0.60667,0.95011,0.81099,0.99685,0,0.89091,0.94436,0.94849,0.81366,0.89704,0.92751,0.93535,0.7454,0.5632,0.93331,0.93187,0.95115,0,0.0002674,0.0002674,0.0002674
39,2525.5,0.63478,0.9872,0.80455,0.97643,0,0.87905,0.96177,0.94696,0.82105,0.8987,0.92786,0.9349,0.74715,0.56275,0.93051,0.91826,0.94324,0,0.0002476,0.0002476,0.0002476
40,2585.5,0.58328,0.96802,0.73163,0.95254,0,0.88319,0.95735,0.94553,0.83316,0.88319,0.95735,0.94553,0.75416,0.55669,0.92587,0.90695,0.94182,0,0.0002278,0.0002278,0.0002278
41,2639.52,0.51636,0.78094,0.95495,0.94624,0,0.88607,0.95596,0.94204,0.82902,0.91446,0.91069,0.93018,0.74452,0.55331,0.9344,0.89626,0.94445,0,0.000208,0.000208,0.000208
42,2694.38,0.50158,0.79028,0.93321,0.96707,0,0.90249,0.95003,0.93833,0.8316,0.90018,0.92651,0.92529,0.73569,0.54729,0.94814,0.90947,0.94605,0,0.0001882,0.0001882,0.0001882
43,2747.01,0.48767,0.76176,0.87301,0.94257,0,0.89846,0.95048,0.93821,0.82243,0.89636,0.92443,0.92446,0.73899,0.5572,0.9558,0.95241,0.95173,0,0.0001684,0.0001684,0.0001684
44,2810.47,0.49036,0.75333,0.8753,0.93873,0,0.8777,0.92748,0.93255,0.81766,0.87936,0.89889,0.9189,0.73713,0.56353,0.96062,0.99506,0.94964,0,0.0001486,0.0001486,0.0001486
45,2872.74,0.49052,0.74377,0.89788,0.92215,0,0.87961,0.92166,0.91078,0.79737,0.86598,0.90499,0.8971,0.72557,0.56741,0.95959,1.01124,0.94866,0,0.0001288,0.0001288,0.0001288
46,2932.91,0.51181,0.74952,0.92929,0.95862,0,0.87961,0.92166,0.91078,0.79737,0.86598,0.90499,0.8971,0.72557,0.56741,0.95959,1.01124,0.94866,0,0.000109,0.000109,0.000109
47,2993.45,0.48353,0.78894,0.90608,0.91627,0,0.87822,0.91923,0.90801,0.79158,0.86469,0.90291,0.89418,0.72669,0.56669,0.95246,0.99959,0.94755,0,8.92e-05,8.92e-05,8.92e-05
48,3061.11,0.46077,0.6955,0.86415,0.9069,0,0.88314,0.90945,0.91161,0.79223,0.86689,0.8959,0.89715,0.72554,0.56574,0.94606,0.98235,0.94689,0,6.94e-05,6.94e-05,6.94e-05
49,3124.31,0.46657,0.70799,0.89742,0.9099,0,0.88767,0.90752,0.91689,0.79445,0.87453,0.89096,0.90112,0.72746,0.56085,0.94041,0.95929,0.94589,0,4.96e-05,4.96e-05,4.96e-05
50,3184.17,0.4614,0.70539,0.87501,0.94829,0,0.89098,0.90675,0.91808,0.79751,0.87801,0.89008,0.90187,0.72505,0.55983,0.93591,0.94659,0.94448,0,2.98e-05,2.98e-05,2.98e-05
